nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Danilo Cabral,M,83 dias,3 dias,6 dias,8 reuniões,6 reuniões,22 reuniões,21/04/1967,"272.413,48","1.005.945,69","33.763,00",-,"23.195,87","25.003,47","49.445,71","45.722,17","26.152,01","32.469,21","12.877,47","8.866,71","24.597,36",-,-,-,"95.045,26","94.090,38","99.861,52","98.095,56","99.861,52","100.443,65","100.923,05","111.114,04","111.465,45","840,18",-
David Miranda,M,66 dias,15 dias,11 dias,23 reuniões,4 reuniões,7 reuniões,10/05/1985,"243.844,22","937.841,64","33.763,00",-,"43.349,65","32.853,62","29.890,05","45.091,15","33.147,86","10.128,77","8.151,54","359,02","5.613,28",-,-,-,"111.544,37","56.799,55","100.004,66","64.345,04","94.914,31","97.663,21","102.324,88","100.368,27","98.332,98","0,00",-
Darci de Matos,M,80 dias,2 dias,10 dias,55 reuniões,3 reuniões,9 reuniões,08/11/1961,"264.386,24","1.112.429,82","33.763,00",-,"36.324,08","39.593,29","42.279,75","38.942,67","18.366,03","26.329,15","14.161,38","1.290,05","19.146,68",-,-,-,"111.623,31","111.579,26","111.659,67","111.659,67","110.174,35","110.543,76","111.508,04","111.508,04","110.579,75","497,07",-
David Soares,M,63 dias,11 dias,3 dias,47 reuniões,12 reuniões,1 reuniões,21/12/1973,"183.939,37","1.068.591,77","33.763,00",-,-,"31.858,14","29.111,16","35.507,14","37.770,69","23.083,39","13.606,57","7.900,18","4.802,08",-,-,-,"105.402,63","105.964,51","107.637,25","99.800,43","108.516,33","107.977,68","108.297,02","111.277,52","110.582,49","300,02",-
Delegado Antônio Furtado,M,90 dias,1 dias,1 dias,73 reuniões,6 reuniões,18 reuniões,06/01/1972,"282.344,68","1.115.182,54","33.763,00",-,"43.088,49","42.959,20","47.359,21","32.920,98","16.303,12","19.852,22","12.243,23","8.009,70","21.960,09",-,-,-,"111.125,87","111.617,20","111.617,20","111.617,20","111.623,07","111.653,61","111.653,61","111.653,61","111.653,61","3.384,55",-
Delegado Marcelo Freitas,M,80 dias,4 dias,8 dias,66 reuniões,1 reuniões,1 reuniões,04/03/1976,"286.506,30","1.067.668,96","33.763,00",-,"43.796,10","33.737,54","39.348,34","24.745,40","29.355,58","26.303,93","19.417,00","19.550,28","18.173,84",-,-,-,"105.813,10","103.290,21","110.724,59","102.664,07","111.483,80","111.483,80","107.272,97","107.289,51","103.558,73","657,24",-
Delegado Éder Mauro,M,79 dias,3 dias,10 dias,4 reuniões,0 reuniões,12 reuniões,14/12/1960,"325.195,22","1.101.131,44","33.763,00",-,"56.697,20","17.871,34","52.104,65","52.514,33","51.446,49","39.019,70","6.514,58","2.675,65","0,00",-,-,-,"111.029,67","109.774,54","111.611,12","111.611,12","111.168,32","110.779,91","107.856,37","107.856,37","107.856,37","0,00",-
Delegado Pablo,M,78 dias,0 dias,14 dias,112 reuniões,0 reuniões,30 reuniões,26/07/1976,"360.476,10","977.905,08","33.763,00",-,"51.491,99","65.512,79","41.341,87","64.732,08","31.189,75","32.398,76","26.832,20","17.440,00","988,39",-,-,-,"73.344,51","92.308,59","106.315,17","99.950,28","106.987,85","101.323,39","101.342,41","107.310,62","89.036,79","281,27",-
Delegado Waldir,M,86 dias,6 dias,0 dias,7 reuniões,5 reuniões,44 reuniões,28/11/1962,"137.419,65","987.728,92","33.763,00",-,"16.610,96","17.642,50","17.514,69","17.254,73","15.282,52","15.088,53","12.955,79","10.015,33","421,51",-,-,-,"99.618,58","96.319,60","92.534,14","92.534,14","94.998,88","101.543,63","103.436,75","102.749,57","102.015,00","513,50",-
Diego Andrade,M,70 dias,22 dias,0 dias,7 reuniões,11 reuniões,9 reuniões,08/08/1977,"201.719,62","1.109.625,13","33.763,00",-,"32.013,45","29.883,01","41.393,91","17.554,55","15.224,17","22.079,82","8.663,35","7.497,89","0,00",-,-,-,"111.580,82","111.580,82","111.580,82","111.580,82","111.535,53","111.241,15","110.635,35","109.154,50","109.154,50","0,00",-
Denis Bezerra,M,88 dias,1 dias,3 dias,69 reuniões,1 reuniões,9 reuniões,17/03/1980,"369.035,79","1.078.559,49","33.763,00",-,"53.674,69","52.475,51","40.861,85","52.185,85","33.475,40","24.901,37","18.145,39","17.544,23","29.104,45",-,-,-,"108.800,92","108.144,99","106.327,19","106.767,55","107.307,01","102.136,31","107.474,82","111.617,19","109.239,78","572,27",-
