nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Dra. Vanda Milani,F,72 dias,13 dias,7 dias,31 reuniões,11 reuniões,22 reuniões,17/09/1953,"391634,75","1103843,63",33763,-,"49027,62","29462,19","71009,98","36127,46","22618,07","41106,51","44816,37",25900,26500,-,-,-,"110980,61","111507,9","111544,28","109468,16","110383,9","111280,73","111580,69","111580,69","106487,76",0,-
Edna Henrique,F,52 dias,9 dias,1 dias,13 reuniões,7 reuniões,6 reuniões,04/09/1958,"243584,49","1109015,64",33763,-,-,-,"41564,86","21722,42","44584,53","40428,22","32338,39","34109,42","28606,65",-,-,-,"107865,76","109797,12","111512,59","111663,63","111590,85","111590,85","111590,85","111590,85","111590,85",230,-
Rosana Valle,F,87 dias,3 dias,2 dias,44 reuniões,2 reuniões,2 reuniões,08/05/1969,"336434,57","1050130,62",33763,-,"29131,46","53484,17","41134,85","52840,25","34551,95","41195,46","30158,94","20867,06","11662,38",-,-,-,"107098,26","107098,26","100284,96","107098,26","91133,79","106579,32","107632,04","109901,08","106206,39","224,72",-
Dulce Miranda,F,84 dias,8 dias,0 dias,78 reuniões,11 reuniões,8 reuniões,15/12/1963,"385034,3","1102626,13",33763,-,"54422,42","66007,2","48597,93","43629,27","16964,63","42936,18","44081,35","12782,41","38029,26",-,-,-,"108469,11","109947,21","110497,62","108778,45","110780,17","110780,17","110780,17","110297,33","110780,17","178,37",-
Renata Abreu,F,48 dias,14 dias,0 dias,5 reuniões,10 reuniões,18 reuniões,15/04/1982,"199541,42","1073067,29",33763,-,"31679,38","42089,94","42896,72","31671,65","3728,86",-,-,-,"14647,92",-,-,-,"104075,25","110440,45","108188,68","106841,6","109718,62","106018,07","110109,96","110476,84","110575,46","1717,09",-
Rosangela Gomes,F,77 dias,15 dias,0 dias,2 reuniões,0 reuniões,0 reuniões,27/12/1966,"318174,26","1114958,7",33763,-,"53038,08","41099,12","40356,2","30910,68","24832,33","27594,88","28932,93","13329,32","22402,45",-,-,-,"111495,87","111495,87","111495,87","111495,87","111495,87","111495,87","111495,87","111495,87","111495,87","58,91",-
Rose Modesto,F,77 dias,9 dias,6 dias,0 reuniões,0 reuniões,4 reuniões,20/02/1978,"197955,03","1056422,1",33763,-,"28174,06","22572,8","28108,83","28359,47","26531,02","14867,91","6958,44","8464,46","17101,98",-,-,-,"110767,63","111653,67","109880,49","111653,67","109891,34","111617,27","97483,92","90265,59","93489,86","283,81",-
Sâmia Bomfim,F,78 dias,14 dias,0 dias,32 reuniões,0 reuniões,3 reuniões,22/08/1989,"312644,24","1089070,53",33763,-,"33173,07","52100,08","49527,82","33373,57","25800,86","31637,36","25034,27","10727,26","21406,64",-,-,-,"108439,14","108239,71","110257,66","106353,47","110871,1","110871,1","110871,1","110871,1","110871,1",0,-
Shéridan,F,53 dias,35 dias,4 dias,0 reuniões,0 reuniões,3 reuniões,11/04/1984,"399814,95","1045548,64",33763,-,"50310,81","47454,5","41030,4","20489,75","35713,64","41489,54","36394,17","37347,57","41866,9",-,-,-,"98699,47","100259,52","99170,39","100363,57","111192,45","104911,24","108772,24","109791,3","108036,7",0,-
Talíria Petrone,F,76 dias,14 dias,2 dias,27 reuniões,19 reuniões,32 reuniões,09/04/1985,"273502,65","1114287,26",33763,-,"32189,96","31865,89","29413,08","45403,28","37323,98","24098,94","23355,39","10439,8","3279,24",-,-,-,"111647,51","111647,51","111584,31","111555,29","111647,53","111647,53","110216,76",111417,"111276,31","331,87",-
Tereza Cristina,F,63 dias,2 dias,4 dias,59 reuniões,1 reuniões,6 reuniões,06/07/1954,"144090,44","682604,66",33763,-,-,"0,04","17413,02","21629,55","24574,99","29064,98","17058,41","14118,74","16121,69",-,-,-,0,"1279,5","104538,87","71166,6","108750,39","111222,82","102614,06","93234,05","89798,37","4109,02",-
Silvia Cristina,F,89 dias,2 dias,1 dias,55 reuniões,5 reuniões,31 reuniões,15/01/1974,"325680,08","1112657,25",33763,-,"41381,49","41593,07","77841,57","52095,78","30489,93","21356,3","8189,34","4412,39","7253,38",-,-,-,"110870,15","110767,11","111247,85","111370,23","111259,6","111526,12","111514,99","111410,91","111315,81","2569,59",-
Soraya Santos,F,90 dias,2 dias,0 dias,29 reuniões,0 reuniões,16 reuniões,04/12/1958,"241340,36","1088262,38",33763,-,"25882,69","44839,17","18501,89","32605,66","34461,17","25720,88","19262,46","5904,46","3618,71",-,-,-,"110159,23","104418,43","108917,92","104366,11","108917,92","109011,86","110852,93","110852,93","110852,93","165,63",-
Tereza Nelma,F,79 dias,13 dias,0 dias,103 reuniões,49 reuniões,35 reuniões,07/10/1957,"358627,21","1096693,18",33763,-,"41297,61","47878,77","56885,66","54271,73","33460,03","30126,11","27479,91","24072,7","573,15",-,-,-,"109973,66","109423,19","109422,19","109733,42","104705,24","109483,86","110785,88","110860,47","110833,78",0,-
Tabata Amaral,F,88 dias,1 dias,3 dias,137 reuniões,0 reuniões,9 reuniões,14/11/1993,"282725,01","744732,36",33763,-,"27888,06","35331,21","49942,23","32068,77","49334,59",25146,"5016,41","3076,08","15953,95",-,-,-,"91799,32","91532,51","102729,84","93743,68","100032,77","52077,47","38232,71","30268,49","54265,68","17,02",-
Vivi Reis,F,81 dias,11 dias,0 dias,79 reuniões,18 reuniões,21 reuniões,05/08/1991,"360325,42","1108885,82",33763,-,"33624,12","47121,22","38398,45","42779,32","36910,98","40803,83","27107,07","21698,14","21089,09",-,-,-,"111501,88","108988,28","110684,14","109564,43","111041,26",111423,111423,111423,111423,"288,09",-
